Product code;Product name;Quantity;Price;Language;Category;Taxes;Status;Image URL;Company id
0120643044;Turkey Tenderloin Frozen;100000;359;fr;Category 5;TVA 20%;A;http://dummyimage.com/792x481.jpg/5fa2dd/ffffff;12
7897094002;Strawberries;100000;340;fr;Category 8;TVA 20%;A;http://dummyimage.com/521x499.bmp/cc0000/ffffff;1
9907327165;Dried Cherries;100000;314;fr;Category 7;TVA 20%;A;http://dummyimage.com/531x738.bmp/ff4444/ffffff;5
2072547796;Wine - White, French Cross;100000;384;fr;Category 9;TVA 20%;A;http://dummyimage.com/698x467.bmp/dddddd/000000;6
4824827885;Boogies;100000;4;fr;Category 2;TVA 20%;A;http://dummyimage.com/732x541.bmp/ff4444/ffffff;7
3690816520;Parsley Italian - Fresh;100000;18;fr;Category 0;TVA 20%;A;http://dummyimage.com/617x406.png/ff4444/ffffff;2
8823700773;Creme De Banane - Marie;100000;382;fr;Category 9;TVA 20%;A;http://dummyimage.com/539x664.png/5fa2dd/ffffff;4
2547039251;Beef - Diced;100000;220;fr;Category 0;TVA 20%;A;http://dummyimage.com/527x577.png/5fa2dd/ffffff;11
7284031708;Cod - Fillets;100000;6;fr;Category 9;TVA 20%;A;http://dummyimage.com/402x727.jpg/cc0000/ffffff;13
1548542407;Shichimi Togarashi Peppeers;100000;249;fr;Category 0;TVA 20%;A;http://dummyimage.com/572x523.jpg/ff4444/ffffff;11
3013750364;Muffins - Assorted;100000;282;fr;Category 7;TVA 20%;A;http://dummyimage.com/480x411.png/cc0000/ffffff;1
4821853777;Cheese - Ricotta;100000;315;fr;Category 3;TVA 20%;A;http://dummyimage.com/471x457.jpg/cc0000/ffffff;4
8046591319;Lobster - Tail, 3 - 4 Oz;100000;30;fr;Category 7;TVA 20%;A;http://dummyimage.com/528x775.jpg/dddddd/000000;3
6487345540;Tomatoes - Heirloom;100000;389;fr;Category 4;TVA 20%;A;http://dummyimage.com/484x477.png/ff4444/ffffff;1
5900139235;Pur Value;100000;399;fr;Category 5;TVA 20%;A;http://dummyimage.com/648x465.jpg/dddddd/000000;1
8194272009;Puff Pastry - Sheets;100000;192;fr;Category 3;TVA 20%;A;http://dummyimage.com/507x639.bmp/dddddd/000000;13
9539957745;Wine - Remy Pannier Rose;100000;282;fr;Category 0;TVA 20%;A;http://dummyimage.com/746x416.png/5fa2dd/ffffff;3
