Product code;Product name;Quantity;Price;Divisions included;Language;Category;Taxes;Status
5720227199;Instant Coffee;100000;298;ID;fr;Category 2;TVA 20%;A
5349473700;Sausage - Andouille;100000;53;CO;fr;Category 3;TVA 20%;A
1810167558;Chip - Potato Dill Pickle;100000;252;CL;fr;Category 2;TVA 20%;A
3103699697;Shrimp - Tiger 21/25;100000;164;TH;fr;Category 6;TVA 20%;A
6394279889;Cup - 3.5oz, Foam;100000;252;CU;fr;Category 9;TVA 20%;A
5918519416;Pork - Smoked Kassler;100000;499;ID;fr;Category 2;TVA 20%;A
9523128973;Swordfish Loin Portions;100000;305;SE;fr;Category 3;TVA 20%;A
9152907872;Brocolinni - Gaylan, Chinese;100000;210;PL;fr;Category 8;TVA 20%;A
6853392752;Juice - Happy Planet;100000;27;BR;fr;Category 8;TVA 20%;A
1186780770;Vol Au Vents;100000;381;RU;fr;Category 8;TVA 20%;A
1811065287;Pasta - Agnolotti - Butternut;100000;396;ID;fr;Category 7;TVA 20%;A
6307413530;Juice - Apple, 500 Ml;100000;198;BG;fr;Category 8;TVA 20%;A
7441115477;Pasta - Ravioli;100000;455;ID;fr;Category 2;TVA 20%;A
6327203019;Flour - Strong;100000;290;US;fr;Category 1;TVA 20%;A
2766653708;Flour - Semolina;100000;32;DO;fr;Category 3;TVA 20%;A
4809568784;Mushroom - White Button;100000;184;PL;fr;Category 3;TVA 20%;A
5800423512;Melon - Honey Dew;100000;446;PT;fr;Category 5;TVA 20%;A
8385639454;Basil - Fresh;100000;323;US;fr;Category 8;TVA 20%;A
6276824879;Bread - Rosemary Focaccia;100000;375;TO;fr;Category 0;TVA 20%;A
4299379454;Wine - Casillero Deldiablo;100000;466;CN;fr;Category 9;TVA 20%;A
3639048822;Cheese - Mascarpone;100000;223;PL;fr;Category 0;TVA 20%;A
4323333285;Arizona - Green Tea;100000;90;ID;fr;Category 8;TVA 20%;A
3698825856;Tea - Orange Pekoe;100000;472;AM;fr;Category 3;TVA 20%;A
759199256;Beef - Top Sirloin - Aaa;100000;137;CN;fr;Category 1;TVA 20%;A
5569378669;Guava;100000;57;ID;fr;Category 8;TVA 20%;A
2453470981;Island Oasis - Raspberry;100000;459;SI;fr;Category 2;TVA 20%;A
5465019220;Wine - Ice Wine;100000;403;JM;fr;Category 8;TVA 20%;A
9748962644;Liners - Baking Cups;100000;500;CA;fr;Category 7;TVA 20%;A
6890201205;Vermouth - Sweet, Cinzano;100000;393;ID;fr;Category 9;TVA 20%;A
156216078;Shrimp - 150 - 250;100000;253;PL;fr;Category 9;TVA 20%;A
9700618625;Toothpick Frilled;100000;310;ID;fr;Category 5;TVA 20%;A
1326055135;Buffalo - Striploin;100000;328;RS;fr;Category 9;TVA 20%;A
7114121105;Wine - Red, Mosaic Zweigelt;100000;53;CN;fr;Category 6;TVA 20%;A
2861852828;Monkfish Fresh - Skin Off;100000;307;SV;fr;Category 7;TVA 20%;A
2808657870;Propel Sport Drink;100000;174;CO;fr;Category 1;TVA 20%;A
5226532903;Cardamon Ground;100000;209;ID;fr;Category 2;TVA 20%;A
4396369832;Mix Pina Colada;100000;473;CN;fr;Category 5;TVA 20%;A
1966900120;Salt - Celery;100000;56;CN;fr;Category 2;TVA 20%;A
9678864371;Mop Head - Cotton, 24 Oz;100000;61;RU;fr;Category 1;TVA 20%;A
9645932114;Cheese - Brie, Cups 125g;100000;451;CN;fr;Category 2;TVA 20%;A
4321733057;Towel Dispenser;100000;246;ID;fr;Category 7;TVA 20%;A
6345197211;Ice Cream Bar - Rolo Cone;100000;297;NG;fr;Category 6;TVA 20%;A
2286691223;Beer - Moosehead;100000;4;XK;fr;Category 6;TVA 20%;A
