Product code;Product name;Quantity;Price;Divisions included;Language;Category;Taxes;Status
8165707167;Port - 74 Brights;100000;322;RU;fr;Category 1;TVA 20%;A
2166944825;Lotus Leaves;100000;348;GH;fr;Category 8;TVA 20%;A
1586206532;Lamb - Shoulder, Boneless;100000;356;GR;fr;Category 1;TVA 20%;A
7967334604;Pork - Ham, Virginia;100000;435;CN;fr;Category 7;TVA 20%;A
5477353457;Juice - Pineapple, 48 Oz;100000;339;ID;fr;Category 5;TVA 20%;A
7805633908;Compound - Rum;100000;215;CN;fr;Category 9;TVA 20%;A
7674550591;Snails - Large Canned;100000;394;DO;fr;Category 4;TVA 20%;A
5702873580;Cake - Miini Cheesecake Cherry;100000;420;MX;fr;Category 2;TVA 20%;A
0842861033;Beans - Kidney, Red Dry;100000;355;CN;fr;Category 2;TVA 20%;A
6416975963;Lamb - Rack;100000;39;PS;fr;Category 3;TVA 20%;A
3502055092;Water Chestnut - Canned;100000;220;PH;fr;Category 7;TVA 20%;A
9739308430;Beer - Tetleys;100000;414;CZ;fr;Category 4;TVA 20%;A
0923023828;Tomatoes - Yellow Hot House;100000;265;US;fr;Category 0;TVA 20%;A
0364525657;Fennel - Seeds;100000;16;VE;fr;Category 8;TVA 20%;A
5866235692;Spice - Chili Powder Mexican;100000;404;MX;fr;Category 5;TVA 20%;A
6451666645;Rice Wine - Aji Mirin;100000;465;CN;fr;Category 8;TVA 20%;A
9563493982;Celery;100000;241;ID;fr;Category 5;TVA 20%;A
8551591134;Samosa - Veg;100000;488;CN;fr;Category 3;TVA 20%;A
4321036739;Mustard - Dry, Powder;100000;445;IR;fr;Category 8;TVA 20%;A
1962375323;Radish - Pickled;100000;481;NO;fr;Category 1;TVA 20%;A
1207364045;Beans - Butter Lrg Lima;100000;171;CN;fr;Category 2;TVA 20%;A
5313581678;Wine - Fume Blanc Fetzer;100000;30;ID;fr;Category 1;TVA 20%;A
7000960507;Longos - Cheese Tortellini;100000;43;RU;fr;Category 3;TVA 20%;A
7897345572;Chocolate - Milk;100000;264;RU;fr;Category 6;TVA 20%;A
5799344057;Trout - Rainbow, Frozen;100000;245;YE;fr;Category 4;TVA 20%;A
1022966235;Appetiser - Bought;100000;480;CO;fr;Category 2;TVA 20%;A
5548637363;Capers - Pickled;100000;284;YE;fr;Category 0;TVA 20%;A
6050287589;Juice - Orangina;100000;489;CZ;fr;Category 7;TVA 20%;A
1834989922;Bread Base - Italian;100000;493;CN;fr;Category 4;TVA 20%;A
0465795447;Wine La Vielle Ferme Cote Du;100000;180;CN;fr;Category 4;TVA 20%;A
3773312652;Bay Leaf Ground;100000;194;CN;fr;Category 5;TVA 20%;A
4606708514;Beef Striploin Aaa;100000;260;US;fr;Category 3;TVA 20%;A
7711464584;Tomato - Green;100000;459;ZA;fr;Category 5;TVA 20%;A
2205074113;Hot Choc Vending;100000;33;PY;fr;Category 0;TVA 20%;A
3457233004;Rice - Sushi;100000;25;CN;fr;Category 2;TVA 20%;A
2616728001;Remy Red Berry Infusion;100000;351;PL;fr;Category 3;TVA 20%;A
2849560278;Table Cloth 54x54 White;100000;380;BR;fr;Category 2;TVA 20%;A
0414282116;Octopus;100000;125;GR;fr;Category 0;TVA 20%;A
6652934116;Anisette - Mcguiness;100000;419;CO;fr;Category 3;TVA 20%;A
1248754379;Soup - Knorr, Country Bean;100000;263;PT;fr;Category 9;TVA 20%;A
6466714314;Pasta - Agnolotti - Butternut;100000;54;ID;fr;Category 0;TVA 20%;A
0960793550;Pineapple - Canned, Rings;100000;411;PL;fr;Category 6;TVA 20%;A
7141018255;Versatainer Nc - 9388;100000;457;US;fr;Category 3;TVA 20%;A
6825106813;Oneshot Automatic Soap System;100000;132;RU;fr;Category 9;TVA 20%;A
7521457226;Beer - Mill St Organic;100000;390;TH;fr;Category 6;TVA 20%;A
0161249698;Appetizer - Crab And Brie;100000;437;JP;fr;Category 1;TVA 20%;A
0068789475;Bread - Raisin Walnut Oval;100000;318;ID;fr;Category 3;TVA 20%;A
9568470662;Beans - Turtle, Black, Dry;100000;14;RU;fr;Category 3;TVA 20%;A
3745877829;Beef Striploin Aaa;100000;492;CN;fr;Category 8;TVA 20%;A
1958763144;Tea - Mint;100000;399;FR;fr;Category 8;TVA 20%;A
1713834650;Syrup - Golden, Lyles;100000;449;SI;fr;Category 8;TVA 20%;A
7721488958;Shallots;100000;500;ID;fr;Category 8;TVA 20%;A
0929783174;Oil - Hazelnut;100000;146;GR;fr;Category 7;TVA 20%;A
8420546437;Fireball Whisky;100000;379;CN;fr;Category 7;TVA 20%;A
9321718257;Stock - Beef, White;100000;217;ID;fr;Category 3;TVA 20%;A
3218544912;Straws - Cocktale;100000;91;PL;fr;Category 7;TVA 20%;A
6530072403;Shrimp - Tiger 21/25;100000;112;ID;fr;Category 3;TVA 20%;A
4757083467;Bread - Pullman, Sliced;100000;150;DO;fr;Category 4;TVA 20%;A
9938670717;Rosemary - Fresh;100000;239;US;fr;Category 2;TVA 20%;A
5334609776;Soup - Verve - Chipotle Chicken;100000;457;CN;fr;Category 8;TVA 20%;A
4453791305;Soup V8 Roasted Red Pepper;100000;167;CZ;fr;Category 8;TVA 20%;A
5069504290;Pepper - Black, Ground;100000;122;UA;fr;Category 7;TVA 20%;A
2165771730;Wine - Duboeuf Beaujolais;100000;269;BR;fr;Category 4;TVA 20%;A
6229865475;Lamb - Shoulder;100000;175;KE;fr;Category 1;TVA 20%;A
0842584730;Pan Grease;100000;430;CN;fr;Category 9;TVA 20%;A
4140626755;Longos - Lasagna Beef;100000;298;ID;fr;Category 1;TVA 20%;A
1560198214;Beans - Soya Bean;100000;446;SE;fr;Category 5;TVA 20%;A
3125097738;Plasticknivesblack;100000;121;TH;fr;Category 8;TVA 20%;A
0822819511;Onions Granulated;100000;100;SE;fr;Category 1;TVA 20%;A
6353885520;Crab - Dungeness, Whole, live;100000;154;RU;fr;Category 8;TVA 20%;A
0816507082;Tumeric;100000;192;CN;fr;Category 6;TVA 20%;A
3087781029;Oranges;100000;1;RU;fr;Category 3;TVA 20%;A
5744257225;Canada Dry;100000;433;PH;fr;Category 4;TVA 20%;A
1675693463;Pail - 15l White, With Handle;100000;129;PH;fr;Category 7;TVA 20%;A
3700147988;Pastry - Chocolate Chip Muffin;100000;433;ID;fr;Category 1;TVA 20%;A
2133613250;V8 - Vegetable Cocktail;100000;363;CN;fr;Category 7;TVA 20%;A
4788774895;Orange - Blood;100000;207;UA;fr;Category 8;TVA 20%;A
8657756943;Lamb - Leg, Boneless;100000;77;FR;fr;Category 5;TVA 20%;A
4208904070;Puree - Passion Fruit;100000;456;ZW;fr;Category 4;TVA 20%;A
8359015457;Wine - Rosso Del Veronese Igt;100000;328;PK;fr;Category 1;TVA 20%;A
3096745889;Pants Custom Dry Clean;100000;260;ID;fr;Category 8;TVA 20%;A
0539509469;Wanton Wrap;100000;389;NL;fr;Category 3;TVA 20%;A
0940189518;Sauce - Sesame Thai Dressing;100000;285;JP;fr;Category 2;TVA 20%;A
