Product code;Language;Category;Price;Weight;Quantity;Downloadable;Product name;Description;Taxes;Features;Short description;Status
9e4a9f499c449;fr;Category 4;400.00;0.00;400;N;Produit 4.2;;TVA 90%;Accessoires: N;;A
9e4a9f499d329;fr;Category 4;40.00;0.00;400;N;Produit 4.9;;TVA 90%;Accessoires: N;;A
9e4a9f420929e;fr;Category 4;4.00;0.00;400;N;Produit 4.4;;TVA 90%;Accessoires: N;;A
9e4a9f499c444;fr;Category 3;200.00;0.00;400;N;Produit 2.2;;TVA 90%;Accessoires: N;;A
9e4a9f499d324;fr;Category 3;20.00;0.00;400;N;Produit 2.9;;TVA 90%;Accessoires: N;;A
9e4a9f420929f;fr;Category 3;2.00;0.00;400;N;Produit 2.4;;TVA 90%;Accessoires: N;;A
9e4a9f9e4b34e;fr;Category 2;900.00;0.00;400;N;Produit 9.2;;TVA 90%;Accessoires: N;;A
9e4a9f9e4f42c;fr;Category 2;90.00;0.00;400;N;Produit 9.9;;TVA 90%;Accessoires: N;;A
9e4a9f9e99dad;fr;Category 2;9.00;0.00;400;N;Produit 9.4;;TVA 90%;Accessoires: N;;A
9e4a9fc2ac43b;fr;Category 9;400.00;0.00;4000000;N;Produit 4.4;;TVA 90%;Accessoires: N;;A
9e4a9fc3999c9;fr;Category 9;40.00;0.00;4000000;N;Produit 4.9;;TVA 90%;Accessoires: N;;A
9e4a9fc3224fc;fr;Category 9;4.00;0.00;4000000;N;Produit 4.2;;TVA 90%;Accessoires: N;;A
