Product code;Product name;Quantity;Price;Divisions included;Language;Category;Taxes;Status;Image URL
1916200931;Bread Crumbs - Japanese Style;100000;359;PH;fr;Category 2;TVA 20%;A;http://dummyimage.com/264x306.jpg/dddddd/000000
0861428544;Soup - Campbells Beef Stew;100000;273;ID;fr;Category 9;TVA 20%;A;http://dummyimage.com/309x335.jpg/5fa2dd/ffffff
8604415637;Bacardi Mojito;100000;500;ZA;fr;Category 1;TVA 20%;A;http://dummyimage.com/334x386.jpg/ff4444/ffffff
3371683834;Icecream - Dstk Cml And Fdg;100000;71;RS;fr;Category 6;TVA 20%;A;http://dummyimage.com/283x376.jpg/5fa2dd/ffffff
5048292995;Wasabi Powder;100000;418;BR;fr;Category 7;TVA 20%;A;http://dummyimage.com/317x278.png/ff4444/ffffff
3654846432;Muffin - Blueberry Individual;100000;118;ID;fr;Category 1;TVA 20%;A;http://dummyimage.com/389x278.bmp/dddddd/000000
1046416847;Beef - Kobe Striploin;100000;500;MX;fr;Category 4;TVA 20%;A;http://dummyimage.com/383x371.png/ff4444/ffffff
4673786033;Beets - Candy Cane, Organic;100000;350;ID;fr;Category 2;TVA 20%;A;http://dummyimage.com/338x308.png/cc0000/ffffff
5190288781;Sauce - Black Current, Dry Mix;100000;458;CN;fr;Category 8;TVA 20%;A;http://dummyimage.com/282x348.jpg/ff4444/ffffff
1706778325;Coffee - Dark Roast;100000;79;RU;fr;Category 4;TVA 20%;A;http://dummyimage.com/359x301.bmp/5fa2dd/ffffff
2289113603;Arizona - Plum Green Tea;100000;9;RU;fr;Category 6;TVA 20%;A;http://dummyimage.com/385x251.jpg/dddddd/000000
0661978141;Beef - Bones, Cut - Up;100000;24;JP;fr;Category 0;TVA 20%;A;http://dummyimage.com/256x392.jpg/cc0000/ffffff
9919816310;Sambuca - Opal Nera;100000;58;PS;fr;Category 3;TVA 20%;A;http://dummyimage.com/300x359.jpg/dddddd/000000
1127021923;Country Roll;100000;114;AR;fr;Category 9;TVA 20%;A;http://dummyimage.com/298x370.bmp/5fa2dd/ffffff
0510052045;Chicken - Whole Fryers;100000;262;RU;fr;Category 7;TVA 20%;A;http://dummyimage.com/377x296.jpg/cc0000/ffffff
4454033544;Appetizer - Assorted Box;100000;482;ID;fr;Category 8;TVA 20%;A;http://dummyimage.com/301x350.bmp/ff4444/ffffff
3389488952;Sobe - Orange Carrot;100000;235;CN;fr;Category 5;TVA 20%;A;http://dummyimage.com/357x342.png/5fa2dd/ffffff
6387453011;Blackberries;100000;318;PH;fr;Category 0;TVA 20%;A;http://dummyimage.com/311x356.jpg/dddddd/000000
9169558442;Currants;100000;309;ID;fr;Category 5;TVA 20%;A;http://dummyimage.com/267x280.png/ff4444/ffffff
1261333594;Sour Puss Sour Apple;100000;332;CN;fr;Category 9;TVA 20%;A;http://dummyimage.com/397x372.jpg/cc0000/ffffff
9774228715;Chocolate Bar - Coffee Crisp;100000;235;CO;fr;Category 3;TVA 20%;A;http://dummyimage.com/302x335.jpg/ff4444/ffffff
7424288644;Lotus Leaves;100000;93;TH;fr;Category 5;TVA 20%;A;http://dummyimage.com/313x393.jpg/ff4444/ffffff
2156141908;Veal - Tenderloin, Untrimmed;100000;200;FR;fr;Category 7;TVA 20%;A;http://dummyimage.com/290x349.png/ff4444/ffffff
8822708253;Schnappes - Peach, Walkers;100000;498;JP;fr;Category 8;TVA 20%;A;http://dummyimage.com/388x282.jpg/cc0000/ffffff
8760742992;Bread - Pita;100000;109;CO;fr;Category 0;TVA 20%;A;http://dummyimage.com/347x306.png/ff4444/ffffff
5059068129;Wine - Rhine Riesling Wolf Blass;100000;229;AZ;fr;Category 1;TVA 20%;A;http://dummyimage.com/285x356.bmp/cc0000/ffffff
0451911652;Wine - White, Antinore Orvieto;100000;232;ID;fr;Category 4;TVA 20%;A;http://dummyimage.com/354x374.bmp/ff4444/ffffff
4291592264;Cake - Night And Day Choclate;100000;74;CO;fr;Category 0;TVA 20%;A;http://dummyimage.com/353x322.png/ff4444/ffffff
6458239076;Onions - Spanish;100000;255;CN;fr;Category 6;TVA 20%;A;http://dummyimage.com/256x393.bmp/5fa2dd/ffffff
6936399436;Artichoke - Hearts, Canned;100000;443;US;fr;Category 0;TVA 20%;A;http://dummyimage.com/333x322.jpg/dddddd/000000
8878986844;Buttons;100000;126;RU;fr;Category 7;TVA 20%;A;http://dummyimage.com/262x371.png/ff4444/ffffff
0008293201;Wine - Wyndham Estate Bin 777;100000;50;CZ;fr;Category 8;TVA 20%;A;http://dummyimage.com/256x381.bmp/5fa2dd/ffffff
7519848027;Wine - Saint - Bris 2002, Sauv;100000;308;RU;fr;Category 5;TVA 20%;A;http://dummyimage.com/376x368.bmp/dddddd/000000
2248390351;Cleaner - Bleach;100000;270;UA;fr;Category 5;TVA 20%;A;http://dummyimage.com/359x285.png/ff4444/ffffff
4941131304;Rum - Mount Gay Eclipes;100000;327;YE;fr;Category 6;TVA 20%;A;http://dummyimage.com/334x321.png/5fa2dd/ffffff
8534595186;Cleaner - Lime Away;100000;49;CN;fr;Category 7;TVA 20%;A;http://dummyimage.com/359x360.png/cc0000/ffffff
5967434275;Beef - Ground Medium;100000;227;AL;fr;Category 4;TVA 20%;A;http://dummyimage.com/358x336.bmp/5fa2dd/ffffff
7869034460;Lettuce - Radicchio;100000;473;TJ;fr;Category 6;TVA 20%;A;http://dummyimage.com/399x364.bmp/5fa2dd/ffffff
7608211253;Ranchero - Primerba, Paste;100000;411;CN;fr;Category 9;TVA 20%;A;http://dummyimage.com/260x279.bmp/ff4444/ffffff
2800233796;Sword Pick Asst;100000;368;SE;fr;Category 7;TVA 20%;A;http://dummyimage.com/378x256.png/ff4444/ffffff
6239658383;Wine - Jafflin Bourgongone;100000;200;BR;fr;Category 6;TVA 20%;A;http://dummyimage.com/345x302.jpg/ff4444/ffffff
5310179844;Nut - Hazelnut, Ground, Natural;100000;218;CN;fr;Category 1;TVA 20%;A;http://dummyimage.com/361x255.jpg/5fa2dd/ffffff
2675391573;Plastic Wrap;100000;18;CN;fr;Category 7;TVA 20%;A;http://dummyimage.com/344x294.bmp/cc0000/ffffff
7299657937;Nut - Pumpkin Seeds;100000;423;NA;fr;Category 7;TVA 20%;A;http://dummyimage.com/381x392.bmp/cc0000/ffffff
3155691034;Bread - Multigrain, Loaf;100000;151;TD;fr;Category 1;TVA 20%;A;http://dummyimage.com/359x296.jpg/cc0000/ffffff
6688082829;Bulgar;100000;403;PE;fr;Category 9;TVA 20%;A;http://dummyimage.com/332x356.jpg/ff4444/ffffff
2840915642;Carbonated Water - Peach;100000;406;CN;fr;Category 8;TVA 20%;A;http://dummyimage.com/279x305.jpg/5fa2dd/ffffff
9510903671;Cheese - Mozzarella;100000;321;WF;fr;Category 2;TVA 20%;A;http://dummyimage.com/359x260.png/dddddd/000000
6255440575;Onions - Cippolini;100000;250;EG;fr;Category 5;TVA 20%;A;http://dummyimage.com/321x363.png/dddddd/000000
7972453756;Nut - Hazelnut, Whole;100000;414;JP;fr;Category 8;TVA 20%;A;http://dummyimage.com/337x349.bmp/dddddd/000000
5599175030;Pear - Packum;100000;67;TJ;fr;Category 0;TVA 20%;A;http://dummyimage.com/285x313.jpg/5fa2dd/ffffff
7101043143;Puree - Guava;100000;124;CN;fr;Category 7;TVA 20%;A;http://dummyimage.com/395x370.jpg/dddddd/000000
2311495356;Wine - Sauvignon Blanc;100000;364;PH;fr;Category 8;TVA 20%;A;http://dummyimage.com/331x281.png/cc0000/ffffff
2878286944;Dc - Frozen Momji;100000;418;US;fr;Category 6;TVA 20%;A;http://dummyimage.com/321x339.bmp/cc0000/ffffff
5903644511;Breadfruit;100000;42;PT;fr;Category 4;TVA 20%;A;http://dummyimage.com/386x372.bmp/ff4444/ffffff
4432796278;Cornflakes;100000;445;PH;fr;Category 5;TVA 20%;A;http://dummyimage.com/306x347.png/cc0000/ffffff
9215788611;Russian Prince;100000;80;CN;fr;Category 1;TVA 20%;A;http://dummyimage.com/266x267.bmp/dddddd/000000
0016544471;Beans - Black Bean, Canned;100000;18;FR;fr;Category 2;TVA 20%;A;http://dummyimage.com/279x324.png/ff4444/ffffff
7402465853;Bread - Wheat Baguette;100000;45;EC;fr;Category 8;TVA 20%;A;http://dummyimage.com/254x380.png/5fa2dd/ffffff
2936942217;Amaretto;100000;343;AM;fr;Category 7;TVA 20%;A;http://dummyimage.com/303x286.jpg/ff4444/ffffff
3414503611;Currants;100000;178;CN;fr;Category 9;TVA 20%;A;http://dummyimage.com/299x275.jpg/ff4444/ffffff
0636508455;Pasta - Fettuccine, Dry;100000;286;AM;fr;Category 6;TVA 20%;A;http://dummyimage.com/386x368.bmp/cc0000/ffffff
4781079954;Coconut Milk - Unsweetened;100000;439;ID;fr;Category 2;TVA 20%;A;http://dummyimage.com/337x268.jpg/cc0000/ffffff
6774143741;Ham - Cooked Italian;100000;263;GR;fr;Category 7;TVA 20%;A;http://dummyimage.com/291x314.bmp/ff4444/ffffff
7928547597;Bread Base - Gold Formel;100000;205;CN;fr;Category 9;TVA 20%;A;http://dummyimage.com/283x365.jpg/5fa2dd/ffffff
5465365447;Cinnamon Rolls;100000;195;CN;fr;Category 3;TVA 20%;A;http://dummyimage.com/318x334.bmp/dddddd/000000
7650673987;Asparagus - Frozen;100000;238;ID;fr;Category 1;TVA 20%;A;http://dummyimage.com/382x370.bmp/cc0000/ffffff
8129051761;Beef - Tenderloin Tails;100000;37;FR;fr;Category 8;TVA 20%;A;http://dummyimage.com/328x318.bmp/dddddd/000000
5027503156;Heavy Duty Dust Pan;100000;65;CN;fr;Category 6;TVA 20%;A;http://dummyimage.com/341x265.jpg/dddddd/000000
3600775278;Petit Baguette;100000;174;PH;fr;Category 9;TVA 20%;A;http://dummyimage.com/375x300.bmp/dddddd/000000
9375918653;Horseradish - Prepared;100000;1;PH;fr;Category 1;TVA 20%;A;http://dummyimage.com/258x281.jpg/5fa2dd/ffffff
0184366895;Chicken - Wings, Tip Off;100000;279;ID;fr;Category 5;TVA 20%;A;http://dummyimage.com/380x279.jpg/ff4444/ffffff
