Product code;Language;Quantity;Combination
8659653056;fr;100;
5673476133;fr;101;test import prices ans stocks: option 1
5673476133;fr;102;test import prices ans stocks: option 2
5673476133;fr;103;test import prices ans stocks: option 3
5673476133;fr;104;test import prices ans stocks: option 4
5673476133;fr;105;test import prices ans stocks: option 5
5673476133;fr;106;test import prices ans stocks: option 6
5673476133;fr;107;test import prices ans stocks: option 7
5673476133;fr;108;test import prices ans stocks: option 8
4268784318;fr;109;
3294413287;fr;510;
2789366595;fr;511;
8626927997;fr;512;
5592386062;fr;513;
3848669633;fr;514;
5909921289;fr;515;
5208767697;fr;516;
2738992838;fr;517;
927017772;fr;518;
9238482658;fr;519;
100237475;fr;520;
7810181273;fr;521;
8710904393;fr;522;
3617439131;fr;523;
8311480365;fr;524;
2110386123;fr;525;
6523631722;fr;526;
4242190547;fr;527;
3253149407;fr;528;
2506846142;fr;529;
9066511997;fr;530;
7747204694;fr;531;
9195024133;fr;532;
7695027336;fr;533;
2970785778;fr;534;
1806f031-d253-4a41-8fc7-0ce4bc6a0d94;fr;100;
792ea05c-86c3-4f19-ad12-8123b99cbb15;fr;100;
e0f0cec1-eb3f-4f30-85f8-c5ab70357fc5;fr;100;
f1aec8f0-3b36-4ddd-a859-d45be52289a9;fr;100;
5fd0e7e78fc2b;fr;2;
5fd0e86264d2a;fr;3250;test import prices ans stocks: option 1
5fd0e86264d2a;fr;3237;test import prices ans stocks: option 2
5fd0e86264d2a;fr;3238;test import prices ans stocks: option 3
4514364022;fr;100;
4274862091;fr;28;test import prices ans stocks: option 1
4035360160;fr;29;test import prices ans stocks: option 2
3795858229;fr;30;test import prices ans stocks: option 3
3556356298;fr;31;test import prices ans stocks: option 4
3316854367;fr;32;test import prices ans stocks: option 5
2837850504;fr;34;test import prices ans stocks: option 7
3077352435;fr;33;test import prices ans stocks: option 6
2358846642;fr;100;
2598348573;fr;35;test import prices ans stocks: option 8
2119344711;fr;100;
1879842780;fr;54;test import prices ans stocks: option 1
1640340848;fr;55;test import prices ans stocks: option 2
1161336986;fr;57;test import prices ans stocks: option 4
1400838917;fr;56;test import prices ans stocks: option 3
921835054,9;fr;58;test import prices ans stocks: option 5
682333123,8;fr;59;test import prices ans stocks: option 6
442831192,6;fr;60;test import prices ans stocks: option 7
203329261,5;fr;61;test import prices ans stocks: option 8
"	-36172669,71";fr;62;
"	-275674600,9";fr;79;
"	-515176532";fr;80;test import prices ans stocks: option 1
"	-754678463,2";fr;81;test import prices ans stocks: option 2
"	-994180394,4";fr;82;test import prices ans stocks: option 3
"	-1233682326";fr;83;test import prices ans stocks: option 4
"	-1473184257";fr;84;test import prices ans stocks: option 5
"	-1712686188";fr;85;test import prices ans stocks: option 6
"	-1952188119";fr;86;test import prices ans stocks: option 7
"	-2191690050";fr;87;test import prices ans stocks: option 8
"	-2431191981";fr;88;
"	-2670693913";fr;105;
"	-2910195844";fr;106;test import prices ans stocks: option 1
"	-3149697775";fr;107;test import prices ans stocks: option 2
"	-3389199706";fr;108;test import prices ans stocks: option 3
"	-3628701637";fr;109;test import prices ans stocks: option 4
"	-3868203568";fr;110;test import prices ans stocks: option 5
"	-4107705499";fr;111;test import prices ans stocks: option 6
"	-4347207431";fr;112;test import prices ans stocks: option 7
"	-4586709362";fr;113;test import prices ans stocks: option 8
"	-4826211293";fr;114;
"	-5065713224";fr;131;
"	-5305215155";fr;132;test import prices ans stocks: option 1
"	-5544717086";fr;133;test import prices ans stocks: option 2
"	-5784219018";fr;134;test import prices ans stocks: option 3
"	-6023720949";fr;135;test import prices ans stocks: option 4
"	-6263222880";fr;136;test import prices ans stocks: option 5
"	-6502724811";fr;137;test import prices ans stocks: option 6
"	-6742226742";fr;138;test import prices ans stocks: option 7
"	-6981728673";fr;139;test import prices ans stocks: option 8
"	-7221230605";fr;140;
"	-7460732536";fr;157;
"	-7700234467";fr;158;test import prices ans stocks: option 1
"	-7939736398";fr;159;test import prices ans stocks: option 2
"	-8179238329";fr;160;test import prices ans stocks: option 3
"	-8418740260";fr;161;test import prices ans stocks: option 4
"	-8658242192";fr;162;test import prices ans stocks: option 5
"	-8897744123";fr;163;test import prices ans stocks: option 6
"	-9137246054";fr;164;test import prices ans stocks: option 7
"	-9376747985";fr;165;test import prices ans stocks: option 8
"	-9616249916";fr;166;
"	-9855751847";fr;183;
"	-10095253779";fr;184;test import prices ans stocks: option 1
"	-10334755710";fr;185;test import prices ans stocks: option 2
"	-10574257641";fr;186;test import prices ans stocks: option 3
"	-10813759572";fr;187;test import prices ans stocks: option 4
"	-11053261503";fr;188;test import prices ans stocks: option 5
"	-11292763434";fr;189;test import prices ans stocks: option 6
"	-11532265366";fr;190;test import prices ans stocks: option 7
"	-11771767297";fr;191;test import prices ans stocks: option 8
"	-12011269228";fr;192;
"	-12250771159";fr;209;
"	-12490273090";fr;210;test import prices ans stocks: option 1
"	-12729775021";fr;211;test import prices ans stocks: option 2
"	-12969276953";fr;212;test import prices ans stocks: option 3
"	-13208778884";fr;213;test import prices ans stocks: option 4
"	-13448280815";fr;214;test import prices ans stocks: option 5
"	-13687782746";fr;215;test import prices ans stocks: option 6
"	-13927284677";fr;216;test import prices ans stocks: option 7
"	-14166786608";fr;217;test import prices ans stocks: option 8
"	-14406288540";fr;218;
"	-14645790471";fr;235;
"	-14885292402";fr;236;test import prices ans stocks: option 1
"	-15124794333";fr;237;test import prices ans stocks: option 2
"	-15364296264";fr;238;test import prices ans stocks: option 3
"	-15603798195";fr;239;test import prices ans stocks: option 4
"	-15843300127";fr;240;test import prices ans stocks: option 5
"	-16082802058";fr;241;test import prices ans stocks: option 6
"	-16322303989";fr;242;test import prices ans stocks: option 7
"	-16561805920";fr;243;test import prices ans stocks: option 8
"	-16801307851";fr;244;
"	-17040809782";fr;261;
"	-17280311713";fr;262;test import prices ans stocks: option 1
"	-17519813645";fr;263;test import prices ans stocks: option 2
"	-17759315576";fr;264;test import prices ans stocks: option 3
"	-17998817507";fr;265;test import prices ans stocks: option 4
"	-18238319438";fr;266;test import prices ans stocks: option 5
"	-18477821369";fr;267;test import prices ans stocks: option 6
"	-18717323300";fr;268;test import prices ans stocks: option 7
"	-18956825232";fr;269;test import prices ans stocks: option 8
"	-19196327163";fr;270;
"	-19435829094";fr;287;
"	-19675331025";fr;288;test import prices ans stocks: option 1
"	-19914832956";fr;289;test import prices ans stocks: option 2
"	-20154334887";fr;290;test import prices ans stocks: option 3
"	-20393836819";fr;291;test import prices ans stocks: option 4
"	-20633338750";fr;292;test import prices ans stocks: option 5
"	-20872840681";fr;293;test import prices ans stocks: option 6
"	-21112342612";fr;294;test import prices ans stocks: option 7
"	-21351844543";fr;295;test import prices ans stocks: option 8
"	-21591346474";fr;296;
"	-21830848406";fr;313;
"	-22070350337";fr;314;test import prices ans stocks: option 1
"	-22309852268";fr;315;test import prices ans stocks: option 2
"	-22788856130";fr;317;test import prices ans stocks: option 4
"	-22549354199";fr;316;test import prices ans stocks: option 3
"	-23028358061";fr;318;test import prices ans stocks: option 5
"	-23267859993";fr;319;test import prices ans stocks: option 6
"	-23507361924";fr;320;test import prices ans stocks: option 7
"	-23746863855";fr;321;test import prices ans stocks: option 8
"	-23986365786";fr;322;
"	-24225867717";fr;339;
"	-24465369648";fr;340;test import prices ans stocks: option 1
"	-24704871580";fr;341;test import prices ans stocks: option 2
"	-24944373511";fr;342;test import prices ans stocks: option 3
"	-25183875442";fr;343;test import prices ans stocks: option 4
"	-25423377373";fr;344;test import prices ans stocks: option 5
"	-25662879304";fr;345;test import prices ans stocks: option 6
"	-25902381235";fr;346;test import prices ans stocks: option 7
"	-26141883167";fr;347;test import prices ans stocks: option 8
"	-26381385098";fr;348;
"	-26620887029";fr;365;
"	-26860388960";fr;366;test import prices ans stocks: option 1
"	-27099890891";fr;367;test import prices ans stocks: option 2
"	-27339392822";fr;368;test import prices ans stocks: option 3
"	-27578894754";fr;369;test import prices ans stocks: option 4
"	-27818396685";fr;370;test import prices ans stocks: option 5
"	-28057898616";fr;371;test import prices ans stocks: option 6
"	-28297400547";fr;372;test import prices ans stocks: option 7
"	-28536902478";fr;373;test import prices ans stocks: option 8
"	-28776404409";fr;374;
"	-29015906341";fr;391;
"	-29255408272";fr;392;test import prices ans stocks: option 1
"	-29494910203";fr;393;test import prices ans stocks: option 2
"	-29734412134";fr;394;test import prices ans stocks: option 3
