Product code;Language;Category;Price;Weight;Quantity;Downloadable;Product name;Description;Taxes;Features;Short description;Status;Price tiers;Crossed out Price;Company id;Combination;Combination Code;Combination Supplier Ref
8659653056;fr;Category 2;"	-18.00";0.00;1;N;Wine - Masi Valpolocell;;TVA 20%;;;A;[0:0];0.00;1;;;
5673476133;fr;Category 6;30.00;0.00;2;N;Myers Planters Punch;;TVA 20%;;;A;[0:30];0.00;1;test import prices ans stocks: option 1;56734761331;testsupplier1
5673476133;fr;Category 6;11.00;0.00;3;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 2;56734761332;supref2
5673476133;fr;Category 6;11.00;0.00;4;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 3;56734761333;
5673476133;fr;Category 6;11.00;0.00;5;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 4;;
5673476133;fr;Category 6;11.00;0.00;6;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 5;;
5673476133;fr;Category 6;0.00;0.00;7;N;Myers Planters Punch;;TVA 20%;;;A;[0:0];0.00;1;test import prices ans stocks: option 6;;
5673476133;fr;Category 6;11.00;0.00;8;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 7;;
5673476133;fr;Category 6;11.00;0.00;9;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 8;;
4268784318;fr;Category 7;0.00;0.00;10;N;Bread Bowl Plain;;TVA 20%;;;A;[0:0];0.00;1;;;
4514364022;fr;Category 2;"	-18.01";0.00;15;N;Wine - Masi Valpolocell;;TVA 20%;;;A;[0:0];0.00;1;;;
4274862091;fr;Category 6;30.01;0.00;16;N;Myers Planters Punch;;TVA 20%;;;A;[0:30];0.00;1;test import prices ans stocks: option 1;56734761333;testsupplier2
4035360160;fr;Category 6;11.00;0.00;17;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 2;56734761333;supref3
3795858229;fr;Category 6;11.00;0.00;18;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 3;56734761333;
3556356298;fr;Category 6;11.00;0.00;19;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 4;56734761333;
3316854367;fr;Category 6;11.00;0.00;20;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 5;56734761333;
3077352435;fr;Category 6;0.00;0.00;21;N;Myers Planters Punch;;TVA 20%;;;A;[0:0];0.00;1;test import prices ans stocks: option 6;56734761333;
2837850504;fr;Category 6;11.00;0.00;22;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 7;56734761333;
2598348573;fr;Category 6;11.00;0.00;23;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 8;56734761333;
2358846642;fr;Category 7;0.00;0.00;24;N;Bread Bowl Plain;;TVA 20%;;;A;[0:0];0.00;1;;56734761333;
5fd0e7e78fc2b;fr;Category 1;10.00;0.00;25;Y;Carotte 2;;TVA 0%;;;A;[0:10];0.00;1;;56734761333;
