Product code;Product name;Quantity;Price;Language;Category;Taxes;Status;Downloadable
440220992;Flower - Dish Garden;100000;190;fr;Category 5;TVA 20%;A;true
3322637832;Cake - French Pear Tart;100000;241;fr;Category 3;TVA 20%;A;false
5826778734;Bread Country Roll;100000;71;fr;Category 3;TVA 20%;A;true
483694071;Beef - Short Ribs;100000;121;fr;Category 4;TVA 20%;A;true
4060774306;Cheese Cloth No 100;100000;283;fr;Category 1;TVA 20%;A;false
9568741137;Chick Peas - Canned;100000;89;fr;Category 9;TVA 20%;A;false
9452780272;Wine - Semi Dry Riesling Vineland;100000;161;fr;Category 0;TVA 20%;A;true
8036498974;Ham - Proscuitto;100000;46;fr;Category 4;TVA 20%;A;true
6416984669;Wine - Saint Emilion Calvet;100000;212;fr;Category 8;TVA 20%;A;false
8010354663;Lettuce - California Mix;100000;94;fr;Category 1;TVA 20%;A;false
3897381629;Cherries - Bing, Canned;100000;132;fr;Category 9;TVA 20%;A;true
2058618322;Jam - Apricot;100000;351;fr;Category 7;TVA 20%;A;false
1477761068;Jagermeister;100000;286;fr;Category 0;TVA 20%;A;false
2538874765;Wine - Trimbach Pinot Blanc;100000;213;fr;Category 1;TVA 20%;A;true
9439968793;Asparagus - Green, Fresh;100000;393;fr;Category 6;TVA 20%;A;true
6306284720;Coffee - Irish Cream;100000;243;fr;Category 7;TVA 20%;A;false
337200588;Chocolate - Unsweetened;100000;18;fr;Category 8;TVA 20%;A;true
1648943492;Pepper Squash;100000;357;fr;Category 9;TVA 20%;A;false
3278818769;Tortillas - Flour, 8;100000;7;fr;Category 6;TVA 20%;A;false
6532629598;Cheese - Bocconcini;100000;319;fr;Category 0;TVA 20%;A;true
3463755035;Extract - Lemon;100000;362;fr;Category 3;TVA 20%;A;true
1018328090;Chips - Potato Jalapeno;100000;241;fr;Category 1;TVA 20%;A;true
5874182807;Coffee - Frthy Coffee Crisp;100000;148;fr;Category 0;TVA 20%;A;true
8286043663;Lemonade - Natural, 591 Ml;100000;142;fr;Category 1;TVA 20%;A;false
7647406148;Napkin - Dinner, White;100000;200;fr;Category 1;TVA 20%;A;true
6998443182;Bagel - Everything;100000;335;fr;Category 1;TVA 20%;A;true
6691701651;Carbonated Water - Blackcherry;100000;130;fr;Category 8;TVA 20%;A;false
6777766284;Ham - Cooked Bayonne Tinned;100000;328;fr;Category 5;TVA 20%;A;false
8293000147;Plate Pie Foil;100000;65;fr;Category 9;TVA 20%;A;false
6300778750;Cheese - Stilton;100000;37;fr;Category 6;TVA 20%;A;false
5352656831;Wine - Guy Sage Touraine;100000;66;fr;Category 3;TVA 20%;A;false
7586318073;Water - Evian 355 Ml;100000;232;fr;Category 4;TVA 20%;A;
2601765153;Spring Roll Veg Mini;100000;298;fr;Category 7;TVA 20%;A;
3270417404;Veal - Shank, Pieces;100000;189;fr;Category 4;TVA 20%;A;true
3138639808;Soup - Campbells - Tomato;100000;368;fr;Category 1;TVA 20%;A;false
2848536288;Trueblue - Blueberry Cranberry;100000;117;fr;Category 3;TVA 20%;A;true
1862159972;Bread - Roll, Italian;100000;397;fr;Category 5;TVA 20%;A;true
6806219906;Butter Sweet;100000;200;fr;Category 5;TVA 20%;A;true
973361715;Shrimp - 21/25, Peel And Deviened;100000;33;fr;Category 2;TVA 20%;A;true
2355561243;Tandoori Curry Paste;100000;104;fr;Category 0;TVA 20%;A;false
7925210877;Coriander - Ground;100000;134;fr;Category 4;TVA 20%;A;true
8558844553;Ecolab Crystal Fusion;100000;214;fr;Category 0;TVA 20%;A;true
2692235146;Cinnamon - Stick;100000;27;fr;Category 2;TVA 20%;A;true
300097085;Pasta - Cannelloni, Sheets, Fresh;100000;305;fr;Category 3;TVA 20%;A;false
8809886527;Straws - Cocktale;100000;355;fr;Category 9;TVA 20%;A;true
5967629984;Tea - Mint;100000;294;fr;Category 7;TVA 20%;A;false
1846050087;Trueblue - Blueberry 12x473ml;100000;39;fr;Category 8;TVA 20%;A;false
3179966737;Crab - Blue, Frozen;100000;303;fr;Category 7;TVA 20%;A;true
786621889;Sauce - Soya, Dark;100000;309;fr;Category 8;TVA 20%;A;true
