Product code;Language;Quantity;Combination
8659653056;fr;500;
5673476133;fr;501;test import prices ans stocks: option 1
5673476133;fr;502;test import prices ans stocks: option 2
5673476133;fr;503;test import prices ans stocks: option 3
5673476133;fr;504;test import prices ans stocks: option 4
5673476133;fr;505;test import prices ans stocks: option 5
5673476133;fr;506;test import prices ans stocks: option 6
5673476133;fr;507;test import prices ans stocks: option 7
5673476133;fr;508;test import prices ans stocks: option 8
4268784318;fr;509;
3294413287;fr;510;
2789366595;fr;511;
8626927997;fr;512;
5592386062;fr;513;
3848669633;fr;514;
5909921289;fr;515;
5208767697;fr;516;
2738992838;fr;517;
927017772;fr;518;
9238482658;fr;519;
100237475;fr;520;
7810181273;fr;521;
8710904393;fr;522;
3617439131;fr;523;
8311480365;fr;524;
2110386123;fr;525;
6523631722;fr;526;
4242190547;fr;527;
3253149407;fr;528;
2506846142;fr;529;
9066511997;fr;530;
7747204694;fr;531;
9195024133;fr;532;
7695027336;fr;533;
2970785778;fr;534;
