Product code;Language;Category;Price;Weight;Quantity;Downloadable;Product name;Description;Taxes;Features;Short description;Status;Price tiers;Crossed out Price;Company id;Combination;Combination Code;Combination Supplier Ref
8659653056;fr;Category 2;"	-18.00";0.00;1;N;Wine - Masi Valpolocell;;TVA 20%;;;A;[0:0];0.00;1;;;
5673476133;fr;Category 6;30.00;0.00;2;N;Myers Planters Punch;;TVA 20%;;;A;[0:30];0.00;1;test import prices ans stocks: option 1;56734761331;testsupplier1
5673476133;fr;Category 6;11.00;0.00;3;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 2;56734761332;supref2
5673476133;fr;Category 6;11.00;0.00;4;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 3;56734761333;
5673476133;fr;Category 6;11.00;0.00;5;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 4;;
5673476133;fr;Category 6;11.00;0.00;6;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 5;;
5673476133;fr;Category 6;0.00;0.00;7;N;Myers Planters Punch;;TVA 20%;;;A;[0:0];0.00;1;test import prices ans stocks: option 6;;
5673476133;fr;Category 6;11.00;0.00;8;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 7;;
5673476133;fr;Category 6;11.00;0.00;9;N;Myers Planters Punch;;TVA 20%;;;A;[0:11///5:21///10:31];0.00;1;test import prices ans stocks: option 8;;
4268784318;fr;Category 7;0.00;0.00;10;N;Bread Bowl Plain;;TVA 20%;;;A;[0:0];0.00;1;;;
5fd0e7e78fc2b;fr;Category 1;10.00;0.00;11;Y;Carotte 1;;TVA 0%;;;A;[0:10];0.00;2;;;
5fd0e86264d2a;fr;Category 2;10.00;0.00;12;Y;Carotte combi;;TVA 2.1%;;;A;[0:10];0.00;2;test import prices ans stocks: option 1;56734761331;
5fd0e86264d2a;fr;Category 2;20.00;0.00;13;Y;Carotte combi;;TVA 2.1%;;;A;[0:20];0.00;2;test import prices ans stocks: option 2;56734761333;
5fd0e86264d2a;fr;Category 2;20.00;0.00;14;Y;Carotte combi;;TVA 2.1%;;;A;[0:20];0.00;2;test import prices ans stocks: option 3;56734761333;
