"Product code";Language;Category;Price;Weight;Quantity;Downloadable;"Product name";Description;Taxes;Features;"Short description";Status;"Price tiers";"Crossed out Price";"Company id";Combination;"Combination Code";"Combination Supplier Ref"
5432543253;fr;"Category 2";30.17;0.00;30;Y;company1prod;;"TVA 0%";;;A;[0:30.17];0.00;3;;;
440220992;fr;"Category 5";190.00;0.00;100000;t;"Flower - Dish Garden";;"TVA 20%";;;A;[0:190];;3;;;
3322637832;fr;"Category 3";241.00;0.00;100000;f;"Cake - French Pear Tart";;"TVA 20%";;;A;[0:241];;3;;;
5826778734;fr;"Category 3";71.00;0.00;100000;t;"Bread Country Roll";;"TVA 20%";;;A;[0:71];;3;;;
483694071;fr;"Category 4";121.00;0.00;100000;t;"Beef - Short Ribs";;"TVA 20%";;;A;[0:121];;3;;;
4060774306;fr;"Category 1";283.00;0.00;100000;f;"Cheese Cloth No 100";;"TVA 20%";;;A;[0:283];;3;;;
9568741137;fr;"Category 9";89.00;0.00;100000;f;"Chick Peas - Canned";;"TVA 20%";;;A;[0:89];;3;;;
9452780272;fr;"Category 0";161.00;0.00;100000;t;"Wine - Semi Dry Riesling Vineland";;"TVA 20%";;;A;[0:161];;3;;;
8036498974;fr;"Category 4";46.00;0.00;100000;t;"Ham - Proscuitto";;"TVA 20%";;;A;[0:46];;3;;;
6416984669;fr;"Category 8";212.00;0.00;100000;f;"Wine - Saint Emilion Calvet";;"TVA 20%";;;A;[0:212];;3;;;
8010354663;fr;"Category 1";94.00;0.00;100000;f;"Lettuce - California Mix";;"TVA 20%";;;A;[0:94];;3;;;
3897381629;fr;"Category 9";132.00;0.00;100000;t;"Cherries - Bing, Canned";;"TVA 20%";;;A;[0:132];;3;;;
2058618322;fr;"Category 7";351.00;0.00;100000;f;"Jam - Apricot";;"TVA 20%";;;A;[0:351];;3;;;
1477761068;fr;"Category 0";286.00;0.00;100000;f;Jagermeister;;"TVA 20%";;;A;[0:286];;3;;;
2538874765;fr;"Category 1";213.00;0.00;100000;t;"Wine - Trimbach Pinot Blanc";;"TVA 20%";;;A;[0:213];;3;;;
9439968793;fr;"Category 6";393.00;0.00;100000;t;"Asparagus - Green, Fresh";;"TVA 20%";;;A;[0:393];;3;;;
