"Product code";Language;Category;Price;Weight;Quantity;Downloadable;"Product name";Description;Taxes;Features;"Short description";Status;"Price tiers";"Crossed out Price";"Company id";Combination;"Combination Code";"Combination Supplier Ref"
8659653056;fr;"Category 2";100.00;0.00;100;N;"Wine - Masi Valpolocell";;"TVA 20%";;;A;[0:100];0.00;1;;;
5673476133;fr;"Category 6";101.00;0.00;101;N;"Myers Planters Punch";;"TVA 20%";;;A;[0:101];2001.00;1;"test import prices ans stocks: option 1";56734761331;testsupplier1
5673476133;fr;"Category 6";102.00;0.00;102;N;"Myers Planters Punch";;"TVA 20%";;;A;[0:102];2001.00;1;"test import prices ans stocks: option 2";56734761332;supref2
5673476133;fr;"Category 6";103.00;0.00;103;N;"Myers Planters Punch";;"TVA 20%";;;A;[0:103];2001.00;1;"test import prices ans stocks: option 3";56734761333;
5673476133;fr;"Category 6";104.00;0.00;104;N;"Myers Planters Punch";;"TVA 20%";;;A;[0:104];2001.00;1;"test import prices ans stocks: option 4";;
5673476133;fr;"Category 6";105.00;0.00;105;N;"Myers Planters Punch";;"TVA 20%";;;A;[0:105];2001.00;1;"test import prices ans stocks: option 5";;
5673476133;fr;"Category 6";106.00;0.00;106;N;"Myers Planters Punch";;"TVA 20%";;;A;[0:106];2001.00;1;"test import prices ans stocks: option 6";;
5673476133;fr;"Category 6";107.00;0.00;107;N;"Myers Planters Punch";;"TVA 20%";;;A;[0:107];2001.00;1;"test import prices ans stocks: option 7";;
5673476133;fr;"Category 6";108.00;0.00;108;N;"Myers Planters Punch";;"TVA 20%";;;A;[0:108];2001.00;1;"test import prices ans stocks: option 8";;
4268784318;fr;"Category 7";109.00;0.00;109;N;"Bread Bowl Plain";;"TVA 20%";;;A;[0:109];0.00;1;;;
3294413287;fr;"Category 5";0.00;0.00;510;N;"Tuna - Bluefin";;"TVA 20%";;;A;[0:0];0.00;1;;;
2789366595;fr;"Category 7";18.00;0.00;511;N;"Soup - Knorr, Country Bean";;"TVA 20%";;;A;[0:18];0.00;1;;;
8626927997;fr;"Category 3";512.00;0.00;512;N;"Champagne - Brights, Dry";;"TVA 20%";;;A;[0:512];2012.00;1;;;
5592386062;fr;"Category 1";513.00;0.00;513;N;"Beets - Pickled";;"TVA 20%";;;A;[0:513];2013.00;1;;;
3848669633;fr;"Category 3";514.00;0.00;514;N;"Dawn Professionl Pot And Pan";;"TVA 20%";;;A;[0:514];0.00;1;;;
5909921289;fr;"Category 0";515.00;0.00;515;N;"Lettuce Romaine Chopped";;"TVA 20%";;;A;[0:515];2015.00;1;;;
5208767697;fr;"Category 0";516.00;0.00;516;N;"Capon - Breast, Double, Wing On";;"TVA 20%";;;A;[0:516];0.00;1;;;
2738992838;fr;"Category 8";517.00;0.00;517;N;"Sauce - White, Mix";;"TVA 20%";;;A;[0:517];2017.00;1;;;
927017772;fr;"Category 0";518.00;0.00;518;N;"Pastry - Apple Large";;"TVA 20%";;;A;[0:518];2018.00;1;;;
9238482658;fr;"Category 1";519.00;0.00;519;N;"Carrots - Mini Red Organic";;"TVA 20%";;;A;[0:519];2019.00;1;;;
100237475;fr;"Category 9";12.00;0.00;520;N;"Chives - Fresh";;"TVA 20%";;;A;[0:12///10:30///20:40];0.00;1;;;
7810181273;fr;"Category 1";521.00;0.00;521;N;"Coconut Milk - Unsweetened";;"TVA 20%";;;A;[0:521];2021.00;1;;;
8710904393;fr;"Category 5";522.00;0.00;522;N;"Pork - Bones";;"TVA 20%";;;A;[0:522];2022.00;1;;;
3617439131;fr;"Category 0";523.00;0.00;523;N;"Wine - Rioja Campo Viejo";;"TVA 20%";;;A;[0:523];2023.00;1;;;
8311480365;fr;"Category 6";12.00;0.00;524;N;"Tea - Orange Pekoe";;"TVA 20%";;;A;[0:12///10:30///20:40];0.00;1;;;
2110386123;fr;"Category 1";525.00;0.00;525;N;"Pastry - Cherry Danish - Mini";;"TVA 20%";;;A;[0:525];2025.00;1;;;
6523631722;fr;"Category 6";526.00;0.00;526;N;"Asparagus - Green, Fresh";;"TVA 20%";;;A;[0:526];2026.00;1;;;
4242190547;fr;"Category 4";527.00;0.00;527;N;"Mushroom Morel Fresh";;"TVA 20%";;;A;[0:527];2027.00;1;;;
3253149407;fr;"Category 3";528.00;0.00;528;N;"Rum - Coconut, Malibu";;"TVA 20%";;;A;[0:528];2028.00;1;;;
2506846142;fr;"Category 1";529.00;0.00;529;N;"Apples - Spartan";;"TVA 20%";;;A;[0:529];0.00;1;;;
9066511997;fr;"Category 7";530.00;0.00;530;N;"Flour Pastry Super Fine";;"TVA 20%";;;A;[0:530];2030.00;1;;;
7747204694;fr;"Category 5";531.00;0.00;531;N;"Capon - Breast, Wing On";;"TVA 20%";;;A;[0:531];2031.00;1;;;
